7.111307868088100908e-06 7.190709476635500886e-16 7.336616904975541616e-16 7.112634502718019409e-16 6.855378436926297816e-16
8.952606186224700737e-06 1.789662677043592973e-15 1.825976720323101197e-15 1.770230466633233645e-15 1.706202513636302402e-15
1.127066342962620102e-05 4.454204322288627965e-15 4.544583839882613829e-15 4.405838512763060352e-15 4.246479808214788408e-15
1.418892459933999964e-05 1.108583857214457966e-14 1.131077656766497506e-14 1.096545581153826029e-14 1.056882573172153528e-14
1.786279774413810170e-05 2.759090747147021088e-14 2.815073127203127695e-14 2.729126374469018767e-14 2.630407268313960742e-14
2.248793000583190386e-05 6.866919509260672831e-14 7.006245849489221007e-14 6.792331326291126503e-14 6.546619577708658941e-14
2.831062654299360223e-05 1.709053038848229384e-13 1.743727080294917710e-13 1.690484713686039296e-13 1.629325056181119654e-13
3.564096717879059931e-05 4.253489731690778850e-13 4.339779417600751769e-13 4.207258499650747856e-13 4.055019103778610523e-13
4.486931928229720212e-05 1.058593716902785292e-12 1.080066417239020733e-12 1.047080591091957042e-12 1.009181804475795309e-12
5.648712625439090371e-05 2.634534355368113965e-12 2.687962761070984673e-12 2.605852880877018785e-12 2.511494392442183171e-12
7.111307868088100569e-05 6.556372301944194302e-12 6.689292463832688005e-12 6.484881921283006191e-12 6.249903735095101609e-12
8.952606186224699720e-05 1.631548450980802516e-11 1.664608502356568150e-11 1.613713598435113197e-11 1.555178282215576351e-11
1.127066342962620001e-04 4.059752464776992584e-11 4.141948020415524613e-11 4.015198763813094079e-11 3.869305308216877690e-11
1.418892459933999897e-04 1.010046716520006532e-10 1.030470087576378457e-10 9.988927622374059338e-11 9.625001963232739654e-11
1.786279774413810034e-04 2.512427308093104245e-10 2.563124756207919463e-10 2.484409808622220455e-10 2.393511670018530018e-10
2.248793000583190250e-04 6.247507940359625242e-10 6.373163026381004374e-10 6.176764197636782806e-10 5.949262587830866441e-10
2.831062654299360427e-04 1.552776043139319404e-09 1.583844805411941925e-09 1.534770424473275577e-09 1.477649229532388433e-09
3.564096717879059796e-04 3.856514816738401119e-09 3.933040921886952688e-09 3.810134331594494038e-09 3.666007396507868279e-09
4.486931928229720076e-04 9.567983269525425149e-09 9.755342092097788294e-09 9.446399428349761563e-09 9.080018186451838792e-09
5.648712625439090236e-04 2.370232181779909649e-08 2.415665721645687982e-08 2.337567091924676867e-08 2.243398962157408227e-08
7.111307868088100840e-04 5.859355177710475354e-08 5.967846029637201189e-08 5.768709526045594056e-08 5.522886116493301451e-08
8.952606186224700262e-04 1.444283006061624041e-07 1.469542347849023216e-07 1.418124426590859860e-07 1.352628477487168925e-07
1.127066342962620028e-03 3.545927928013683066e-07 3.602246568209337785e-07 3.467180263989327285e-07 3.288423146579621190e-07
1.418892459933999897e-03 8.658778509215911742e-07 8.774724422113957589e-07 8.412247086445915865e-07 7.912609019060756886e-07
1.786279774413810197e-03 2.098971262767415536e-06 2.119078265440828556e-06 2.019538775461037539e-06 1.877537913031750622e-06
2.248793000583190413e-03 5.034568446741353025e-06 5.050712438989189849e-06 4.777462339050397898e-06 4.379065551892975384e-06
2.831062654299360427e-03 1.183573119855061707e-05 1.169680499921161551e-05 1.105003776318002495e-05 1.007104856894163785e-05
3.564096717879060121e-03 2.744135357644152579e-05 2.669043934213567357e-05 2.504078553202820245e-05 2.257699629493889484e-05
4.486931928229720076e-03 6.245435206197224903e-05 5.971834682584942536e-05 5.544447127674894185e-05 4.927462353881566947e-05
5.648712625439089585e-03 1.388168843788840023e-04 1.304007162369721549e-04 1.195808249247371115e-04 1.042533219502172245e-04
7.111307868088100406e-03 2.996637900699456445e-04 2.763982438967293293e-04 2.496056232575089365e-04 2.125551190945022860e-04
8.952606186224700696e-03 6.239174794391934070e-04 5.638201472357800247e-04 4.997199287847963909e-04 4.136480004941713484e-04
1.127066342960610090e-02 1.240249872114165732e-03 1.093500535897603057e-03 9.483370241490919573e-04 7.466636164828729461e-04
1.418892447573169915e-02 2.319940199965079587e-03 1.983415943907388974e-03 1.657233863608030718e-03 1.206885117655502517e-03
1.786270576649790290e-02 4.016810374973907825e-03 3.282731804780503193e-03 2.586177368686730284e-03 1.728215072654054173e-03
2.247543280614910238e-02 6.364883682792945446e-03 4.872659574366151533e-03 3.585799609124298067e-03 2.198356225521445970e-03
2.790162796935259995e-02 9.210039231145513913e-03 6.535526383166084634e-03 4.500420156339997139e-03 2.508520984131334345e-03
3.245764028912500460e-02 1.181856520397365010e-02 7.915761171567281540e-03 5.162720822360547697e-03 2.680365172455963663e-03
3.576520443743810146e-02 1.396108214342542571e-02 8.980343483561943965e-03 5.643672363368732424e-03 2.794504410836422779e-03
3.849576773162230459e-02 1.589916674730294105e-02 9.897107477021669167e-03 6.042349539951107074e-03 2.883252951866969570e-03
4.093518803764860381e-02 1.772087808840792922e-02 1.072126876162260260e-02 6.382226920845735126e-03 2.951490052237410334e-03
4.321112576249321047e-02 1.943989947792111248e-02 1.145807910099399737e-02 6.667390092244932648e-03 2.998832611391766094e-03
4.539124408494640134e-02 2.104079931899170697e-02 1.209841068575569223e-02 6.893677203304600550e-03 3.022083778308897427e-03
4.751615472401480439e-02 2.249644107588703520e-02 1.263242906936962867e-02 7.055794631165014132e-03 3.020395042224557555e-03
4.961255399644130815e-02 2.377763181954275704e-02 1.304965990671698439e-02 7.150963575651933003e-03 2.992187908169354708e-03
5.169926767010930152e-02 2.486096514021009229e-02 1.334237188244893381e-02 7.177008226761606366e-03 2.938976298373408274e-03
