1.061389202627000003e-05 3.032709468792877180e-15 3.108670048861876132e-15 3.171748393754120230e-15 3.074916865845433721e-15 2.963700548566411673e-15
1.336209838990999917e-05 7.551274000335348916e-15 7.740413389711777113e-15 7.897474108718116972e-15 7.656367751625095882e-15 7.379442479030160408e-15
1.682188521795000154e-05 1.880222384434735857e-14 1.927317429417372497e-14 1.966424306183125033e-14 1.906389725849743623e-14 1.837435814762106470e-14
2.117749877515999902e-05 4.681635343497900421e-14 4.798902042370875270e-14 4.896274505363616599e-14 4.746790055354258458e-14 4.575094527973872386e-14
2.666089136628999889e-05 1.165695168742491164e-13 1.194894794616739436e-13 1.219139395700799247e-13 1.181917956876290842e-13 1.139165123829436586e-13
3.356407364209999913e-05 2.902491108555163159e-13 2.975200201170126846e-13 3.035565515619678150e-13 2.942883705152279322e-13 2.836425249825033272e-13
4.225466523137000205e-05 7.226938255312032422e-13 7.407994545285743626e-13 7.558291290946244290e-13 7.327509008330557935e-13 7.062408745852265063e-13
5.319547182663000032e-05 1.799425999710099702e-12 1.844513693502142776e-12 1.881932969745623077e-12 1.824465651554381133e-12 1.758447471638608602e-12
6.696913127493000183e-05 4.480304943480497074e-12 4.592593265872623150e-12 4.685750231939662880e-12 4.542644826519840652e-12 4.378225078490944523e-12
8.430914116779000443e-05 1.115505110096274578e-11 1.143473117242638541e-11 1.166662773317489456e-11 1.131024429687427807e-11 1.090069793932142607e-11
1.061389202626999935e-04 2.777284264158033145e-11 2.846957876823695803e-11 2.904675481079470048e-11 2.815914779670696043e-11 2.713880763412799157e-11
1.336209838991000087e-04 6.914248266904030502e-11 7.087869011719488292e-11 7.231490436833331046e-11 7.010389793366406686e-11 6.756097220152138821e-11
1.682188521794999883e-04 1.721199985328601166e-10 1.764484716421125972e-10 1.800209259466609066e-10 1.745120401701728059e-10 1.681710926651497176e-10
2.117749877515999902e-04 4.284074505168395963e-10 4.392064413505833727e-10 4.480872940629776567e-10 4.343562809695599135e-10 4.185314194999511931e-10
2.666089136628999956e-04 1.066072007775466364e-09 1.093044926465047397e-09 1.115101122187853048e-09 1.080855763598428461e-09 1.041310042651266445e-09
3.356407364209999778e-04 2.651942042841447951e-09 2.719433882055838198e-09 2.774129402516354177e-09 2.688640334814205593e-09 2.589612755844398464e-09
4.225466523137000070e-04 6.593294727684076952e-09 6.762646295509758063e-09 6.897956890374576779e-09 6.684228270638567026e-09 6.435454186913592673e-09
5.319547182663000168e-04 1.637834274014065764e-08 1.680512675368019980e-08 1.713859646872060940e-08 1.660301941874723074e-08 1.597497271651813378e-08
6.696913127493000183e-04 4.063270175908028651e-08 4.171540322064418094e-08 4.253226803012235708e-08 4.118531042920797992e-08 3.958792665378564912e-08
8.430914116779000171e-04 1.006150180722319295e-07 1.033892886900683183e-07 1.053710951162503336e-07 1.019644407654259222e-07 9.785683644347267711e-08
1.061389202627000070e-03 2.484856983861974547e-07 2.556989214770240712e-07 2.604334004403948312e-07 2.517431968854404413e-07 2.410156033551081951e-07
1.336209838991000032e-03 6.114231588991202052e-07 6.305609510097567195e-07 6.415889521096072015e-07 6.191403508372685331e-07 5.905454094159692774e-07
1.682188521795000046e-03 1.496702640265530690e-06 1.548804948343345282e-06 1.573404035067553385e-06 1.514409220571257491e-06 1.436330953438842119e-06
2.117749877515999902e-03 3.637615174945246737e-06 3.783686767066627446e-06 3.834352460369772236e-06 3.675958213783028992e-06 3.457627886719476436e-06
2.666089136629000173e-03 8.754820910462553105e-06 9.176040028805751783e-06 9.263941499713587374e-06 8.828786259285369942e-06 8.208003297227040842e-06
3.356407364209999886e-03 2.079870586247243845e-05 2.201918734628503471e-05 2.208979470689251512e-05 2.089470813560203672e-05 1.915228004322893450e-05
4.225466523136999636e-03 4.860519615111239471e-05 5.178740001821504870e-05 5.117952657655896722e-05 4.834958789265705539e-05 4.406600759119312405e-05
5.319547182663000168e-03 1.113327265613291508e-04 1.201226155664898975e-04 1.168355407638691239e-04 1.096142960137757449e-04 9.882923008984794355e-05
6.696913127493000183e-03 2.490912751112916621e-04 2.735091427915681338e-04 2.615272324506738946e-04 2.428104577305968486e-04 2.157905670385576479e-04
8.430914116779000822e-03 5.418889675411595226e-04 6.081929158295501297e-04 5.713194917843136128e-04 5.239147306445511533e-04 4.567609491130780177e-04
1.061389202626999984e-02 1.138336766463832498e-03 1.313479438971013828e-03 1.211502431579438138e-03 1.094065632433460821e-03 9.316667139312955316e-04
1.336209838990999946e-02 2.283741391433466959e-03 2.735937208575014816e-03 2.472404717933460172e-03 2.191319192175362161e-03 1.813885638885928860e-03
1.682188521791999972e-02 4.303565822658707296e-03 5.440992610382020499e-03 4.797201329378537535e-03 4.160367081313364780e-03 3.275623171642998935e-03
2.117749859066999849e-02 7.473534741244316354e-03 1.018206142998687690e-02 8.705079114704953117e-03 7.273487912906318603e-03 5.296937570671108285e-03
2.666075408524999982e-02 1.175415711109503020e-02 1.763722389209823951e-02 1.441399279870201645e-02 1.135552466215227624e-02 7.588338339296479829e-03
3.354542100939000154e-02 1.654121701127968941e-02 2.795946723130992781e-02 2.140447060597932064e-02 1.575159133550126794e-02 9.656872287608236211e-03
4.164421756856000190e-02 2.093224619555590985e-02 4.047419826458579367e-02 2.872085383753520196e-02 1.977742907605268066e-02 1.102388091022034507e-02
4.844423056002999939e-02 2.424158041570000088e-02 5.195246430526857806e-02 3.479638116956967897e-02 2.269446964269175929e-02 1.178244343063607896e-02
