1.000000	0.007466	16387064
1.414214	0.012812	16387064
1.732051	0.015714	16387064
2.000000	0.020762	2000376
2.828427	0.023983	2000376
3.464102	0.025022	2000376
4.000000	0.019821	238328
5.656854	0.016679	238328
6.928203	0.013295	238328
8.000000	0.006820	27000
11.313708	0.004185	27000
13.856406	0.002548	27000
16.000000	0.001401	2744
22.627417	0.000514	2744
27.712813	0.000341	2744
32.000000	-0.000039	216
45.254834	0.000288	216
55.425626	0.000164	216
64.000000	0.000145	8
90.509668	-0.000024	8
110.851252	0.000147	8
