1.000000	-0.008575	16387064
1.414214	-0.002264	16387064
1.732051	0.002522	16387064
2.000000	0.009815	2000376
2.828427	0.016370	2000376
3.464102	0.019701	2000376
4.000000	0.018117	238328
5.656854	0.016004	238328
6.928203	0.012959	238328
8.000000	0.006769	27000
11.313708	0.004204	27000
13.856406	0.002532	27000
16.000000	0.001331	2744
22.627417	0.000480	2744
27.712813	0.000342	2744
32.000000	-0.000030	216
45.254834	0.000304	216
55.425626	0.000161	216
64.000000	0.000145	8
90.509668	-0.000014	8
110.851252	0.000161	8
