  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.7771516E-02   52098.36       37886.38    
  2.1765573E-02   14104.83       4149.663    
  2.5132721E-02   84372.46       84380.01    
  2.9409647E-02   78383.88       24757.80    
  3.5543032E-02   99258.14       82104.17    
  3.9516468E-02   85198.73       19273.58    
  4.6142224E-02   88779.57       18261.06    
  5.3387228E-02   72891.47       14949.93    
  6.1865415E-02   86718.55       15375.26    
  7.2685905E-02   94765.52       12005.61    
  8.4642150E-02   82207.01       9067.187    
  9.8049179E-02   67671.01       5568.655    
  0.1142356       55188.43       3875.364    
  0.1326868       47633.77       2616.561    
  0.1543809       35553.00       1655.354    
  0.1798822       26213.78       1038.265    
  0.2089894       18354.15       682.2328    
  0.2431705       9954.434       404.0300    
  0.2829503       2822.485       238.2883    
  0.3291667      -1370.436       171.5398    
  0.3831643      -3310.314       139.4085    
  0.4457791      -3222.887       117.9824    
  0.5187770      -1522.056       95.95870    
  0.6037728      -55.94743       69.01587    
  0.7025698       621.4919       49.79723    
  0.8176144       475.9485       38.70264    
  0.9515194       203.1965       32.55303    
   1.107359       78.85011       30.75560    
   1.288636       84.24435       33.76050    
   1.499541       8.002871       46.97635    
