  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.7771516E-02   52024.83       33451.16    
  2.1765573E-02   13247.46       3660.715    
  2.5132721E-02   91198.76       29716.90    
  2.9409647E-02   78442.29       16178.26    
  3.5543032E-02   100888.1       78751.13    
  3.9516468E-02   83617.77       12144.99    
  4.6142224E-02   86728.30       14456.11    
  5.3387228E-02   74631.23       9147.511    
  6.1865415E-02   86490.42       10366.12    
  7.2685905E-02   94217.35       8310.599    
  8.4642150E-02   81320.32       5904.306    
  9.8049179E-02   67482.56       3545.834    
  0.1142356       58876.29       2674.892    
  0.1326868       51820.32       1853.173    
  0.1543809       40713.81       1202.186    
  0.1798822       33153.63       821.0216    
  0.2089894       27502.79       591.5281    
  0.2431705       20948.37       398.8409    
  0.2829503       14574.84       259.7040    
  0.3291667       11045.07       180.2607    
  0.3831643       8477.599       129.2737    
  0.4457791       6789.651       96.74091    
  0.5187770       6800.637       81.71513    
  0.6037728       7147.331       68.12303    
  0.7025698       6789.665       50.52498    
  0.8176144       5931.073       63.22019    
  0.9515194       4363.371       22.73609    
   1.107359       3191.473       16.46423    
   1.288636       2493.235       12.93411    
   1.499541       1984.197       10.77872    
