1.000000	-0.008862	16387064
1.414214	-0.004512	16387064
1.732051	-0.000919	16387064
2.000000	0.006753	2000376
2.828427	0.012554	2000376
3.464102	0.015185	2000376
4.000000	0.016454	238328
5.656854	0.014121	238328
6.928203	0.010858	238328
8.000000	0.005879	27000
11.313708	0.003179	27000
13.856406	0.001601	27000
16.000000	0.000893	2744
22.627417	0.000205	2744
27.712813	0.000265	2744
32.000000	-0.000036	216
45.254834	0.000167	216
55.425626	0.000067	216
64.000000	0.000022	8
90.509668	-0.000034	8
110.851252	-0.000209	8
