1.000000	-0.014515	16387064
1.414214	-0.008837	16387064
1.732051	-0.005424	16387064
2.000000	0.006420	2000376
2.828427	0.009292	2000376
3.464102	0.010926	2000376
4.000000	0.015552	238328
5.656854	0.013696	238328
6.928203	0.011072	238328
8.000000	0.006204	27000
11.313708	0.004363	27000
13.856406	0.002716	27000
16.000000	0.001298	2744
22.627417	0.000583	2744
27.712813	0.000321	2744
32.000000	-0.000020	216
45.254834	0.000414	216
55.425626	0.000109	216
64.000000	0.000225	8
90.509668	0.000007	8
110.851252	0.000091	8
