1.000000	-0.020491	16387064
1.414214	-0.014671	16387064
1.732051	-0.010234	16387064
2.000000	0.005405	2000376
2.828427	0.011975	2000376
3.464102	0.015334	2000376
4.000000	0.016013	238328
5.656854	0.014689	238328
6.928203	0.012262	238328
8.000000	0.005688	27000
11.313708	0.004122	27000
13.856406	0.002890	27000
16.000000	0.001112	2744
22.627417	0.000518	2744
27.712813	0.000250	2744
32.000000	-0.000074	216
45.254834	0.000387	216
55.425626	0.000140	216
64.000000	0.000238	8
90.509668	-0.000003	8
110.851252	0.000104	8
