  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00
  1.7771516E-02   42604.61       30935.70    
  2.1765573E-02   11550.79       3475.074    
  2.5132721E-02   70728.50       70741.48    
  2.9409647E-02   66350.27       20814.84    
  3.5543032E-02   85632.13       71048.68    
  3.9516468E-02   73574.12       16702.94    
  4.6142224E-02   77491.46       15917.34    
  5.3387228E-02   64174.40       13266.80    
  6.1865415E-02   76977.80       13623.10    
  7.2685905E-02   85762.21       10885.37    
  8.4642150E-02   75027.40       8293.820    
  9.8049179E-02   62193.21       5137.139    
  0.1142356       50919.07       3600.815    
  0.1326868       44299.30       2476.656    
  0.1543809       33173.44       1566.082    
  0.1798822       24463.81       1010.259    
  0.2089894       17048.11       689.7451    
  0.2431705       9221.055       439.0814    
  0.2829503       2369.109       320.1330    
  0.3291667      -1704.261       287.3629    
  0.3831643      -3636.076       296.2555    
  0.4457791      -3289.506       316.8492    
  0.5187770      -1578.371       340.6459    
  0.6037728      -253.4951       373.5415    
  0.7025698       466.9619       415.9601    
  0.8176144       338.3963       466.9049    
  0.9515194       283.7479       513.6624    
   1.107359       309.2812       540.1770    
   1.288636       216.8928       513.9177    
   1.499541       492.5874       415.5674    
